Date,Open,High,Low,Close,Volume
16-11-09,160,195,160,177.3,7430400
17-11-09,176.1,186,170.1,171.1,2832800
18-11-09,170.1,170.2,158,158.2,2732000
19-11-09,158.1,167.9,152,164,1627200
22-11-09,167,168.9,163,165.7,872400
23-11-09,164.1,170,164.1,168.5,1091600
24-11-09,170,177,168.8,174.8,1321800
25-11-09,175.9,180,175.9,179.3,1232000
26-11-09,180,182,178,180,1126800
01-12-09,182,182.9,177,177.3,1112600
02-12-09,177.1,177.5,174.2,174.7,921600
03-12-09,174.4,175.4,172.4,173.6,773200
06-12-09,175,176,171.5,171.8,796200
07-12-09,172,173.8,170,170.1,752800
08-12-09,170,171.2,168.6,169.4,555000
09-12-09,171.9,173.9,169,170.7,718200
10-12-09,170.6,172,167.8,169.2,924400
13-12-09,170,173,168,171.6,813600
14-12-09,172,178.2,172,176,1002600
15-12-09,175.5,179,172.3,172.8,745000
17-12-09,174,174,170.5,171.1,424400
20-12-09,171,171.9,170,170.1,626400
21-12-09,171.9,171.9,169.7,170.8,550000
22-12-09,171,178,171,176.7,1074600
23-12-09,178.3,181.4,177,180.2,1776600
24-12-09,181,183.8,179.4,182.5,1584200
27-12-09,183.9,190,183.5,189.7,1863600
29-12-09,190,194.9,188.2,188.6,1420400
30-12-09,189.5,190,186.4,187.5,1442400
03-01-10,187,192.3,187,189.3,962200
04-01-10,190,198.9,190,197.9,2749600
05-01-10,199,202,195.2,196.5,2061800
06-01-10,196,197.8,195,196.4,1436200
07-01-10,197,197,193.5,193.8,1259600
10-01-10,193.9,194.4,190.2,192.3,1605400
11-01-10,193.9,197.4,192.8,196.8,1784800
12-01-10,197.4,207,197.4,206,5308600
13-01-10,206.5,209,197.6,201.2,2952200
14-01-10,203,213.9,203,211.7,3507000
17-01-10,214,215,210.2,211,3133200
18-01-10,212.5,219.9,209.2,219.5,3351800
19-01-10,220,225.8,219.5,224.4,3606800
20-01-10,226.9,227.9,222.5,226.9,2603800
21-01-10,227.7,244.9,227.5,244.4,5070200
24-01-10,244.9,254.9,236,252.6,3997200
25-01-10,255,288,251,278.4,4675000
26-01-10,275,275,238.5,255,4564600
27-01-10,259.9,264,250,259,2219400
28-01-10,262,275,259,272.1,2761600
31-01-10,273,274.9,265,266.9,2327600
01-02-10,265.2,280,265.2,279.4,3569600
02-02-10,275.5,290,270,286.8,2825600
03-02-10,290,300,285.1,287.3,4040200
04-02-10,285,296,282.5,290.9,3093600
07-02-10,291,296.9,290,292.6,1584200
08-02-10,294.5,312,294.1,310.6,5377000
09-02-10,303,324.9,297,319.6,5672800
10-02-10,323,323,310,314,1622400
11-02-10,312,316.1,300.1,312,1972400
14-02-10,312.1,337.5,308.8,333.9,1916000
15-02-10,336,352.8,336,344.3,2624000
16-02-10,345,365,342.2,360.4,1959800
17-02-10,368,395,364.5,385.4,2973800
18-02-10,380.1,380.1,350,361.2,2612400
22-02-10,361,361,310,332.6,1207400
23-02-10,332,345,323.1,341.8,1359800
24-02-10,346.9,368.8,346.9,366.5,1517000
25-02-10,369,380,366,369.3,1501000
28-02-10,374.8,374.8,353.5,355.3,1510800
01-03-10,355,365,350,361.8,1249000
02-03-10,368,368,360,363.4,714600
03-03-10,367.8,369,357.1,358.9,1016200
04-03-10,357.6,362,352,359.8,885200
07-03-10,362,364,349.5,351.9,1157400
08-03-10,350,351,334.1,337.6,1671800
09-03-10,338,342.9,322.5,324.5,1539400
10-03-10,324.1,342,322.2,339.4,1214800
11-03-10,344,347.3,337.1,339.8,728800
14-03-10,342,342,324.5,326.8,1222600
15-03-10,326,326,304.1,323,1582400
16-03-10,329,334,325.1,327.9,1648800
18-03-10,331,331,310.1,314.3,2404000
21-03-10,312,345,306.8,341.8,3035200
22-03-10,344,348.9,337,338.4,1502200
23-03-10,339,349,337.3,339.6,2728400
24-03-10,345,360,345,356.9,3925600
25-03-10,359.9,364,353.3,358.6,2564600
28-03-10,355,361.8,353.5,354.5,1830600
